,precision,recall,f1-score,support
Analysis,1.0,1.0,1.0,166.0
Backdoor,0.08,0.0625,0.07017543859649122,32.0
DoS,1.0,1.0,1.0,521.0
Exploits,1.0,1.0,1.0,4900.0
Fuzzers,0.5,0.38976377952755903,0.4380530973451327,508.0
Generic,0.9840804356933389,0.9920601402145451,0.988054176831833,11839.0
Normal,1.0,1.0,1.0,5855.0
Reconnaissance,0.539651837524178,0.5557768924302788,0.5475956820412168,502.0
Worms,0.05405405405405406,0.06896551724137931,0.06060606060606061,29.0
accuracy,0.9719119579500657,0.9719119579500657,0.9719119579500657,0.9719119579500657
macro avg,0.6841984808079524,0.6743407032681957,0.6782760506023038,24352.0
weighted avg,0.9700049715907582,0.9719119579500657,0.9708032438871861,24352.0
