,precision,recall,f1-score,support
Analysis,1.0,1.0,1.0,166.0
Backdoor,0.0,0.0,0.0,32.0
DoS,0.9980842911877394,1.0,0.9990412272291467,521.0
Exploits,1.0,1.0,1.0,4900.0
Fuzzers,0.4834558823529412,0.5177165354330708,0.5,508.0
Generic,0.9891286027304905,0.9913844074668469,0.9902552204176334,11839.0
Normal,1.0,0.9996584116140051,0.9998291766313632,5855.0
Reconnaissance,0.5539714867617108,0.5418326693227091,0.5478348439073516,502.0
Worms,0.0,0.0,0.0,29.0
accuracy,0.973718791064389,0.973718791064389,0.973718791064389,0.973718791064389
macro avg,0.6694044736703202,0.6722880026485147,0.6707733853539438,24352.0
weighted avg,0.9721987811278235,0.973718791064389,0.9729445201514811,24352.0
