,precision,recall,f1-score,support
Analysis,1.0,1.0,1.0,166.0
Backdoor,0.0013230794674605143,1.0,0.002642662482451069,32.0
DoS,0.0,0.0,0.0,521.0
Exploits,0.0,0.0,0.0,4900.0
Fuzzers,0.0,0.0,0.0,508.0
Generic,0.0,0.0,0.0,11839.0
Normal,0.0,0.0,0.0,5855.0
Reconnaissance,0.0,0.0,0.0,502.0
Worms,0.0,0.0,0.0,29.0
accuracy,0.008130749014454665,0.008130749014454665,0.008130749014454665,0.008130749014454665
macro avg,0.11125811994082896,0.2222222222222222,0.1114047402758279,24352.0
weighted avg,0.00681842717407025,0.008130749014454665,0.006820161185916493,24352.0
