,precision,recall,f1-score,support
Analysis,1.0,1.0,1.0,166.0
Backdoor,0.0,0.0,0.0,32.0
DoS,1.0,1.0,1.0,521.0
Exploits,1.0,1.0,1.0,4900.0
Fuzzers,0.5634920634920635,0.41929133858267714,0.48081264108352145,508.0
Generic,0.9912117627175934,0.9907931413126109,0.9910024078063616,11839.0
Normal,1.0,1.0,1.0,5855.0
Reconnaissance,0.5444126074498568,0.7569721115537849,0.6333333333333333,502.0
Worms,0.0,0.0,0.0,29.0
accuracy,0.9758952036793692,0.9758952036793692,0.9758952036793692,0.9758952036793692
macro avg,0.677679603739946,0.6852285101610082,0.6783498202470241,24352.0
weighted avg,0.974725080322248,0.9758952036793692,0.9747315892338732,24352.0
