,precision,recall,f1-score,support
Analysis,1.0,1.0,1.0,166.0
Backdoor,0.09090909090909091,0.03125,0.046511627906976744,32.0
DoS,1.0,1.0,1.0,521.0
Exploits,1.0,1.0,1.0,4900.0
Fuzzers,0.4853932584269663,0.4251968503937008,0.453305351521511,508.0
Generic,0.9883750315895881,0.9910465410929977,0.9897089835512443,11839.0
Normal,1.0,1.0,1.0,5855.0
Reconnaissance,0.5369718309859155,0.6075697211155379,0.5700934579439253,502.0
Worms,0.13333333333333333,0.06896551724137931,0.09090909090909091,29.0
accuracy,0.9731849540078844,0.9731849540078844,0.9731849540078844,0.9731849540078844
macro avg,0.6927758383605438,0.6804476255381795,0.6833920568703054,24352.0
weighted avg,0.9718416307079796,0.9731849540078844,0.9723946873543589,24352.0
